Movie_id,Title,import_feat
112,The Bad Batch," Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna Ana Lily Amirpour Romance,Sci-Fi The Bad Batch"
113,300," Gerard Butler, Lena Headey, David Wenham, Dominic West Zack Snyder Action,Fantasy,War 300"
114,Harry Potter and the Deathly Hallows: Part 2," Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon David Yates Adventure,Drama,Fantasy Harry Potter and the Deathly Hallows: Part 2"
115,Office Christmas Party," Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston Josh Gordon Comedy Office Christmas Party"
116,The Neon Demon," Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman Nicolas Winding Refn Horror,Thriller The Neon Demon"
117,Dangal," Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh,Sanya Malhotra Nitesh Tiwari Action,Biography,Drama Dangal"
118,10 Cloverfield Lane," John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin Dan Trachtenberg Drama,Horror,Mystery 10 Cloverfield Lane"
119,Finding Dory," Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson Andrew Stanton Animation,Adventure,Comedy Finding Dory"
120,Miss Peregrine's Home for Peculiar Children," Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench Tim Burton Adventure,Drama,Family Miss Peregrine's Home for Peculiar Children"
121,Divergent," Shailene Woodley, Theo James, Kate Winslet, Jai Courtney Neil Burger Adventure,Mystery,Sci-Fi Divergent"
122,Mike and Dave Need Wedding Dates," Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza Jake Szymanski Adventure,Comedy,Romance Mike and Dave Need Wedding Dates"
123,Boyka: Undisputed IV," Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov Todor Chapkanov Action Boyka: Undisputed IV"
124,The Dark Knight Rises," Christian Bale, Tom Hardy, Anne Hathaway,Gary Oldman Christopher Nolan Action,Thriller The Dark Knight Rises"
125,The Jungle Book," Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba Jon Favreau Adventure,Drama,Family The Jungle Book"
126,Transformers: Age of Extinction," Mark Wahlberg, Nicola Peltz, Jack Reynor, Stanley Tucci Michael Bay Action,Adventure,Sci-Fi Transformers: Age of Extinction"
127,Nerve," Emma Roberts, Dave Franco, Emily Meade, Miles Heizer Henry Joost Adventure,Crime,Mystery Nerve"
128,Mamma Mia!," Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård Phyllida Lloyd Comedy,Family,Musical Mamma Mia!"
129,The Revenant," Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson Alejandro González Iñárritu Adventure,Drama,Thriller The Revenant"
130,Fences," Denzel Washington, Viola Davis, Stephen Henderson, Jovan Adepo Denzel Washington Drama Fences"
131,Into the Woods," Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt Rob Marshall Adventure,Comedy,Drama Into the Woods"
132,The Shallows," Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen Jaume Collet-Serra Drama,Horror,Thriller The Shallows"
133,Whiplash," Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser Damien Chazelle Drama,Music Whiplash"
134,Furious 6," Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez Justin Lin Action,Crime,Thriller Furious 6"
135,The Place Beyond the Pines," Ryan Gosling, Bradley Cooper, Eva Mendes,Craig Van Hook Derek Cianfrance Crime,Drama,Thriller The Place Beyond the Pines"
136,No Country for Old Men," Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson Ethan Coen Crime,Drama,Thriller No Country for Old Men"
137,The Great Gatsby," Leonardo DiCaprio, Carey Mulligan, Joel Edgerton,Tobey Maguire Baz Luhrmann Drama,Romance The Great Gatsby"
138,Shutter Island," Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo,Ben Kingsley Martin Scorsese Mystery,Thriller Shutter Island"
139,Brimstone," Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten Martin Koolhoven Mystery,Thriller,Western Brimstone"
140,Star Trek," Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy J.J. Abrams Action,Adventure,Sci-Fi Star Trek"
141,Diary of a Wimpy Kid," Zachary Gordon, Robert Capron, Rachael Harris,Steve Zahn Thor Freudenthal Comedy,Family Diary of a Wimpy Kid"
142,The Big Short," Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt Adam McKay Biography,Comedy,Drama The Big Short"
143,Room," Brie Larson, Jacob Tremblay, Sean Bridgers,Wendy Crewson Lenny Abrahamson Drama Room"
144,Django Unchained," Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington Quentin Tarantino Drama,Western Django Unchained"
145,Ah-ga-ssi," Min-hee Kim, Jung-woo Ha, Jin-woong Jo, So-ri Moon Chan-wook Park Drama,Mystery,Romance Ah-ga-ssi"
146,The Edge of Seventeen," Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick Kelly Fremon Craig Comedy,Drama The Edge of Seventeen"
147,Watchmen," Jackie Earle Haley, Patrick Wilson, Carla Gugino,Malin Akerman Zack Snyder Action,Drama,Mystery Watchmen"
148,Superbad," Michael Cera, Jonah Hill, Christopher Mintz-Plasse, Bill Hader Greg Mottola Comedy Superbad"
149,Inferno," Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster Ron Howard Action,Adventure,Crime Inferno"
150,The BFG," Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement Steven Spielberg Adventure,Family,Fantasy The BFG"
151,The Hunger Games," Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci Gary Ross Adventure,Sci-Fi,Thriller The Hunger Games"
152,White Girl," Morgan Saylor, Brian Marc, Justin Bartha, Adrian Martinez Elizabeth Wood Drama White Girl"
153,Sicario," Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal Denis Villeneuve Action,Crime,Drama Sicario"
154,Twin Peaks: The Missing Pieces," Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder David Lynch Drama,Horror,Mystery Twin Peaks: The Missing Pieces"
155,Aliens vs Predator - Requiem," Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz Colin Strause Action,Horror,Sci-Fi Aliens vs Predator - Requiem"
156,Pacific Rim," Idris Elba, Charlie Hunnam, Rinko Kikuchi,Charlie Day Guillermo del Toro Action,Adventure,Sci-Fi Pacific Rim"
157,"Crazy, Stupid, Love."," Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone Glenn Ficarra Comedy,Drama,Romance Crazy, Stupid, Love."
158,Scott Pilgrim vs. the World," Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Alison Pill Edgar Wright Action,Comedy,Fantasy Scott Pilgrim vs. the World"
159,Hot Fuzz," Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy Edgar Wright Action,Comedy,Mystery Hot Fuzz"
160,Mine," Armie Hammer, Annabelle Wallis,Tom Cullen, Clint Dyer Fabio Guaglione Thriller,War Mine"
161,Free Fire," Sharlto Copley, Brie Larson, Armie Hammer, Cillian Murphy Ben Wheatley Action,Comedy,Crime Free Fire"
162,X-Men: Days of Future Past," Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy Bryan Singer Action,Adventure,Sci-Fi X-Men: Days of Future Past"
163,Jack Reacher: Never Go Back," Tom Cruise, Cobie Smulders, Aldis Hodge, Robert Knepper Edward Zwick Action,Adventure,Crime Jack Reacher: Never Go Back"
164,Casino Royale," Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright Martin Campbell Action,Adventure,Thriller Casino Royale"
165,Twilight," Kristen Stewart, Robert Pattinson, Billy Burke,Sarah Clarke Catherine Hardwicke Drama,Fantasy,Romance Twilight"
166,Now You See Me 2," Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco Jon M. Chu Action,Adventure,Comedy Now You See Me 2"
167,Woman in Gold," Helen Mirren, Ryan Reynolds, Daniel Brühl, Katie Holmes Simon Curtis Biography,Drama,History Woman in Gold"
168,13 Hours," John Krasinski, Pablo Schreiber, James Badge Dale,David Denman Michael Bay Action,Drama,History 13 Hours"
169,Spectre," Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes Sam Mendes Action,Adventure,Thriller Spectre"
170,Nightcrawler," Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed Dan Gilroy Crime,Drama,Thriller Nightcrawler"
171,Kubo and the Two Strings," Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes Travis Knight Animation,Adventure,Family Kubo and the Two Strings"
172,Beyond the Gates," Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton Jackson Stewart Adventure,Horror Beyond the Gates"
173,Her," Joaquin Phoenix, Amy Adams, Scarlett Johansson,Rooney Mara Spike Jonze Drama,Romance,Sci-Fi Her"
174,Frozen," Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad Chris Buck Animation,Adventure,Comedy Frozen"
175,Tomorrowland," George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy Brad Bird Action,Adventure,Family Tomorrowland"
176,Dawn of the Planet of the Apes," Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee Matt Reeves Action,Adventure,Drama Dawn of the Planet of the Apes"
177,Tropic Thunder," Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn Ben Stiller Action,Comedy Tropic Thunder"
178,The Conjuring 2," Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor James Wan Horror,Mystery,Thriller The Conjuring 2"
179,Ant-Man," Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly Peyton Reed Action,Adventure,Comedy Ant-Man"
180,Bridget Jones's Baby," Renée Zellweger, Gemma Jones, Jim Broadbent,Sally Phillips Sharon Maguire Comedy,Romance Bridget Jones's Baby"
181,The VVitch: A New-England Folktale," Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings Robert Eggers Horror,Mystery The VVitch: A New-England Folktale"
182,Cinderella," Lily James, Cate Blanchett, Richard Madden,Helena Bonham Carter Kenneth Branagh Drama,Family,Fantasy Cinderella"
183,Realive," Tom Hughes, Charlotte Le Bon, Oona Chaplin, Barry Ward Mateo Gil Sci-Fi Realive"
184,Forushande," Taraneh Alidoosti, Shahab Hosseini, Babak Karimi,Farid Sajjadi Hosseini Asghar Farhadi Drama,Thriller Forushande"
185,Love," Aomi Muyock, Karl Glusman, Klara Kristin, Juan Saavedra Gaspar Noé Drama,Romance Love"
